actor,name,red,yellow,blue,keywordProvide,cost,keywordCost,action,effect,details
Wolf,Bite,2,2,2,,2,,attack |x|: strength = |x| + 4,basic wound,
Wolf,Bite,2,2,2,,2,,attack |x|: strength = |x| + 4,basic wound,
Wolf,Bite,2,2,2,,2,,attack |x|: strength = |x| + 4,basic wound,
Wolf,Bite,3,2,2,,2,,attack |x|: strength = |x| + 4,basic wound,
Wolf,Bite,3,2,2,,2,,attack |x|: strength = |x| + 4,basic wound,
Wolf,Bite,3,2,2,,2,,attack |x|: strength = |x| + 4,basic wound,
Wolf,Bite,4,2,2,,2,,attack |x|: strength = |x| + 4,basic wound,
Wolf,Bite,4,2,2,,2,,attack |x|: strength = |x| + 4,basic wound,
Wolf,Bite,5,2,2,,2,,attack |x|: strength = |x| + 4,basic wound,
Wolf,Claw,1,3,2,,2,,attack |x|: strength = |x| + 2,basic wound,2 + when spent to defend
Wolf,Claw,1,3,2,,2,,attack |x|: strength = |x| + 2,basic wound,2 + when spent to defend
Wolf,Claw,2,3,2,,2,,attack |x|: strength = |x| + 2,basic wound,2 + when spent to defend
Wolf,Claw,3,3,2,,2,,attack |x|: strength = |x| + 2,basic wound,2 + when spent to defend
Wolf,Claw,4,3,2,,2,,attack |x|: strength = |x| + 2,basic wound,2 + when spent to defend
Wolf,Pounce,1,4,2,,3,,attack |x|: strength = |x| + 2,basic wound,
Wolf,Pounce,2,4,2,,3,,attack |x|: strength = |x| + 2,basic wound,
Wolf,Pounce,3,4,2,,3,,attack |x|: strength = |x| + 2,basic wound,
Wolf,Pounce,4,4,2,,3,,attack |x|: strength = |x| + 2,basic wound,
Wolf,Pounce,5,4,2,,3,,attack |x|: strength = |x| + 2,basic wound,
Wolf,Pack attack,2,4,2,,1,,attack |x|: strength = |x| + 2,basic wound,Other wolves attacking this round +1
Wolf,Pack attack,3,4,2,,1,,attack |x|: strength = |x| + 2,basic wound,Other wolves attacking this round +1
Wolf,Pack attack,5,4,2,,1,,attack |x|: strength = |x| + 2,basic wound,Other wolves attacking this round +1
Wolf,Pack attack,6,4,2,,1,,attack |x|: strength = |x| + 2,basic wound,Other wolves attacking this round +1
,,,,,,,,,,
,,,,,,,,,,
Troll,Troll,x,x,z,,,,light armor recover 2 cards to bottom of deck per ukpeep,recover 2 cards from fatigued when reshuffle,
Troll,Smash,6,4,2,,3,,attack |x|: strength = |x| + 6,,
Troll,Smash,6,4,2,,3,,attack |x|: strength = |x| + 6,,
Troll,Smash,6,4,2,,3,,attack |x|: strength = |x| + 6,,
Troll,Smash,6,4,2,,3,,attack |x|: strength = |x| + 6,,
Troll,Punch,8,4,2,,2,,attack |x|: strength = |x| + 4,,
Troll,Punch,8,4,2,,2,,attack |x|: strength = |x| + 4,,
Troll,Punch,8,4,2,,2,,attack |x|: strength = |x| + 4,,
Troll,Punch,8,4,2,,2,,attack |x|: strength = |x| + 4,,
Troll,Claw,6,6,2,,1,,attack |x|: strength = |x| + 4,,
Troll,Claw,6,6,2,,1,,attack |x|: strength = |x| + 4,,
Troll,Claw,6,6,2,,1,,attack |x|: strength = |x| + 4,,
Troll,Claw,6,6,2,,1,,attack |x|: strength = |x| + 4,,
Troll,Rend,8,8,3,,3,,attack |x|: strength = |x| + 8,,
Troll,Rend,8,8,3,,3,,attack |x|: strength = |x| + 8,,
Troll,Rend,8,8,3,,3,,attack |x|: strength = |x| + 8,,
Troll,Brutish strength,12,4,2,,,,,,
Troll,Brutish strength,12,4,2,,,,,,
Troll,Brutish strength,12,4,2,,,,,,
Troll,Thick hide,6,2,4,,1+,,defend: this and all resources spent with it remain as state and spend to protect against the next attack as well,,
Troll,Thick hide,6,2,4,,1+,,defend: this and all resources spent with it remain as state and spend to protect against the next attack as well,,
Troll,Troll healing,6,6,4,,,,recover all spent cards to deck,,
Troll,Troll healing,6,6,4,,,,recover all spent cards to deck,,
Troll,Close wounds,6,6,6,,1,,recover 2 minor or 1 major wound,,
Troll,Close wounds,6,6,6,,1,,recover 2 minor or 1 major wound,,
,,,,,,,,,,
,,,,,,,,,,
Lizard Warrior,Lizard Warrior,,,,"Heavy Weapon, Sword, Teeth, Scales",,,Light armor,,
Lizard Warrior,Slash,3,2,2,,1,,attack |x|: strength |x| + 2,basic wound,
Lizard Warrior,Slash,3,2,2,,1,,attack |x|: strength |x| + 2,basic wound,
Lizard Warrior,Slash,3,2,2,,1,,attack |x|: strength |x| + 2,basic wound,
Lizard Warrior,Slash,3,2,2,,1,,attack |x|: strength |x| + 2,basic wound,
Lizard Warrior,Bite,3,3,1,,0,,attack |x|: strength |x| + 2,basic wound,
Lizard Warrior,Bite,3,3,1,,0,,attack |x|: strength |x| + 2,basic wound,
Lizard Warrior,Power Attack,4,2,2,,2,heavy weapon,attack |x|: strength = |x| + 3,basic wound,
Lizard Warrior,Power Attack,4,2,2,,2,heavy weapon,attack |x|: strength = |x| + 3,basic wound,
Lizard Warrior,Hack,3,2,1,,3,,attack |x|: strength = |x| + 5,basic wound,
Lizard Warrior,Hack,3,2,1,,3,,attack |x|: strength = |x| + 5,basic wound,
Lizard Warrior,Chop,2,3,1,,1,,attack |x|: strength |x| + 4,basic wound,
Lizard Warrior,Chop,2,3,1,,1,,attack |x|: strength |x| + 4,basic wound,
Lizard Warrior,Chop,2,3,1,,1,,attack |x|: strength |x| + 4,basic wound,
Lizard Warrior,Scaly skin,4,3,1,,,,defense +2 when spent on defense,basic wound,
Lizard Warrior,Scaly skin,4,3,1,,,,defense +2 when spent on defense,basic wound,
Lizard Warrior,Lizard strength,5,2,1,,,,,,
Lizard Warrior,Lizard strength,5,2,1,,,,,,
Lizard Warrior,Lizard strength,5,2,1,,,,,,
Lizard Warrior,Athletics,4,4,2,,,,,,
Lizard Warrior,Athletics,4,4,2,,,,,,
Lizard Warrior,Skitter,2,5,2,,,,,,
Lizard Warrior,Skitter,2,5,2,,,,,,
Lizard Warrior,Monitor the situation,3,3,4,,1,,"Draw 2 cards, recover 2 from spent",,
Lizard Warrior,Monitor the situation,3,3,4,,1,,"Draw 2 cards, recover 2 from spent",,
