actor	name	red	yellow	blue	keywordProvide	cost	keywordCost	action	effect	details
Fungus Monster	Psuedopod Punch	5	3	3		2	Psuedopod	Attack |x|: strength = |x| +4		
Fungus Monster	Psuedopod Punch	5	3	3		2	Psuedopod	Attack |x|: strength = |x| +4		
Fungus Monster	Psuedopod Punch	5	3	3		2	Psuedopod	Attack |x|: strength = |x| +4		
Fungus Monster	Cap Slap	3	5	2		1	cap	Attack |x|: strength = |x| +2		
Fungus Monster	Cap Slap	3	5	2		1	cap	Attack |x|: strength = |x| +2		
Fungus Monster	Cap Slap	3	5	2		1	cap	Attack |x|: strength = |x| +2		
Fungus Monster	Cap Slap	3	5	2		1	cap	Attack |x|: strength = |x| +2		
Fungus Monster	Magic Spores	4	1	6						
Fungus Monster	Magic Spores	4	1	6						
Fungus Monster	Magic Spores	4	1	6						
Fungus Monster	Fungal toughness	6	3	3						
Fungus Monster	Fungal toughness	6	3	3						
Fungus Monster	Fungal toughness	6	3	3						
Fungus Monster	Fungal toughness	6	3	3						
Fungus Monster	Cap spin slice	4	4	4		3	cap	Attack |x|: strength = |x| +2		Affects all adjacent opponents
Fungus Monster	Cap spin slice	4	4	4		3	cap	Attack |x|: strength = |x| +2		Affects all adjacent opponents
Fungus Monster	Cap spin slice	4	4	4		3	cap	Attack |x|: strength = |x| +2		Affects all adjacent opponents
Fungus Monster	Slowing spores	3	2	4		3	spores	Attack |z|: strength = |z| +4		
Fungus Monster	Slowing spores	3	2	4		3	spores	Attack |z|: strength = |z| +4		
Fungus Monster	Sneezing spores	2	3	5		2	spores	Attack |z|: strength = |z| +2		Affects all opponents
Fungus Monster	Sneezing spores	2	3	5		2	spores	Attack |z|: strength = |z| +2		Affects all opponents
Fungus Monster	Sneezing spores	2	3	5		2	spores	Attack |z|: strength = |z| +2		Affects all opponents
										
										
Sewer Serpent	Sewer Serpent									
Sewer Serpent	Bite	4				0		Attack |x|: strength = |x| + 4		
Sewer Serpent	Bite	4				0		Attack |x|: strength = |x| + 4		
Sewer Serpent	Bite	4				0		Attack |x|: strength = |x| + 4		
Sewer Serpent	Bite	4				0		Attack |x|: strength = |x| + 4		
Sewer Serpent	Chomp	5				1		Attack |x|: strength = |x| + 5		
Sewer Serpent	Chomp	5				1		Attack |x|: strength = |x| + 5		
Sewer Serpent	Chomp	5				1		Attack |x|: strength = |x| + 5		
Sewer Serpent	Crush through	6				1		Attack |x|: strength = |x| + 3		
Sewer Serpent	Crush through	6				1		Attack |x|: strength = |x| + 3		
Sewer Serpent	Crush through	6				1		Attack |x|: strength = |x| + 3		
Sewer Serpent	Long and snakey	6	5	4						
Sewer Serpent	Long and snakey	6	5	4						
Sewer Serpent	Long and snakey	6	5	4						
Sewer Serpent	Poison Bite	5				1		Attack |x|: strength = |x| + 2		Attack |x|: strength = |x| - 2 next turn against the same target
Sewer Serpent	Poison Bite	5				1		Attack |x|: strength = |x| + 2		Attack |x|: strength = |x| - 2 next turn against the same target
Sewer Serpent	Poison Bite	5				1		Attack |x|: strength = |x| + 2		Attack |x|: strength = |x| - 2 next turn against the same target
Sewer Serpent	Poison Spray	4				2		Attack |x|: strength = |x| + 2		Affects all enemies
Sewer Serpent	Poison Spray	4				2		Attack |x|: strength = |x| + 2		Affects all enemies
Sewer Serpent	Really big	8	4	4						
Sewer Serpent	Really big	8	4	4						
Sewer Serpent	Really big	8	4	4						
Sewer Serpent	Tail slap	7				2		Attack |x|: strength = |x| + 5		
Sewer Serpent	Tail slap	7				2		Attack |x|: strength = |x| + 5		
Sewer Serpent	Tail slap	7				2		Attack |x|: strength = |x| + 5		
